date1,datetime,cash_type,card,money,coffee_name
March,March  10:15:51 AM,card,ANON-0000-0000-0001,38.7,Latte
March,March  12:19:23 PM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
March,March  12:20:18 PM,card,ANON-0000-0000-0002,38.7,Hot Chocolate
March,March  1:46:33 PM,card,ANON-0000-0000-0003,28.9,Americano
March,March  1:48:15 PM,card,ANON-0000-0000-0004,38.7,Latte
March,March  3:39:48 PM,card,ANON-0000-0000-0005,33.8,Americano with Milk
March,March  4:19:03 PM,card,ANON-0000-0000-0006,38.7,Hot Chocolate
March,March  6:39:04 PM,card,ANON-0000-0000-0007,33.8,Americano with Milk
March,March  7:22:02 PM,card,ANON-0000-0000-0008,38.7,Cocoa
March,March  7:23:16 PM,card,ANON-0000-0000-0008,33.8,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
March,March  10:15:51 AM,card,ANON-0000-0000-0010,28.9,Americano
March,March  12:19:23 PM,cash,,40,Latte
March,March  12:20:18 PM,card,ANON-0000-0000-0011,33.8,Americano with Milk
March,March  1:46:33 PM,card,ANON-0000-0000-0012,33.8,Americano with Milk
March,March  1:48:15 PM,card,ANON-0000-0000-0013,28.9,Americano
March,March  3:39:48 PM,card,ANON-0000-0000-0014,33.8,Americano with Milk
March,March  4:19:03 PM,card,ANON-0000-0000-0004,28.9,Americano
March,March  6:39:04 PM,cash,,40,Latte
March,March  7:22:02 PM,card,ANON-0000-0000-0015,38.7,Latte
March,March  7:23:16 PM,card,ANON-0000-0000-0016,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  10:15:51 AM,card,ANON-0000-0000-0017,38.7,Hot Chocolate
March,March  12:19:23 PM,card,ANON-0000-0000-0018,38.7,Cocoa
March,March  12:20:18 PM,card,ANON-0000-0000-0019,28.9,Cortado
March,March  1:46:33 PM,card,ANON-0000-0000-0020,33.8,Americano with Milk
March,March  1:48:15 PM,card,ANON-0000-0000-0020,33.8,Americano with Milk
March,March  3:39:48 PM,card,ANON-0000-0000-0020,38.7,Hot Chocolate
March,March  4:19:03 PM,card,ANON-0000-0000-0001,38.7,Latte
March,March  6:39:04 PM,card,ANON-0000-0000-0021,38.7,Latte
March,March  7:22:02 PM,card,ANON-0000-0000-0012,33.8,Americano with Milk
March,March  7:23:16 PM,card,ANON-0000-0000-0022,24,Espresso
March,March  7:29:17 PM,card,ANON-0000-0000-0001,38.7,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0023,38.7,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0024,38.7,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0025,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0026,38.7,Cocoa
March,March  7:29:17 PM,card,ANON-0000-0000-0027,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0028,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0028,38.7,Hot Chocolate
March,March  7:29:17 PM,cash,,35,Americano with Milk
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Americano
March,March  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Cortado
March,March  7:29:17 PM,card,ANON-0000-0000-0029,38.7,Cappuccino
March,March  7:29:17 PM,card,ANON-0000-0000-0029,38.7,Cappuccino
March,March  7:29:17 PM,cash,,40,Latte
March,March  7:29:17 PM,card,ANON-0000-0000-0030,38.7,Hot Chocolate
March,March  7:29:17 PM,card,ANON-0000-0000-0031,38.7,Latte
March,March  7:29:17 PM,cash,,40,Latte
